x_m,y_m
2.408820,-0.409730
2.417442,-0.503203
2.426064,-0.596675
2.434685,-0.690148
2.443307,-0.783620
2.451929,-0.877092
2.460551,-0.970565
2.469173,-1.064037
2.477795,-1.157510
2.486416,-1.250982
2.483839,-1.347539
2.481262,-1.444095
2.478685,-1.540651
2.476108,-1.637208
2.473531,-1.733764
2.470953,-1.830321
2.468376,-1.926877
2.465799,-2.023433
2.463222,-2.119990
2.462889,-2.218725
2.462556,-2.317460
2.462222,-2.416195
2.461889,-2.514930
2.461556,-2.613665
2.461223,-2.712400
2.460889,-2.811135
2.460556,-2.909870
2.460223,-3.008605
2.459890,-3.107340
2.459556,-3.206075
2.460882,-3.305634
2.462208,-3.405193
2.463533,-3.504752
2.464859,-3.604311
2.466185,-3.703870
2.467511,-3.803429
2.468836,-3.902988
2.470162,-4.002547
2.471488,-4.102106
2.472685,-4.199229
2.473881,-4.296351
2.475078,-4.393474
2.476275,-4.490597
2.477472,-4.587719
2.478669,-4.684842
2.479865,-4.781964
2.481062,-4.879087
2.482259,-4.976210
2.483456,-5.073332
2.484653,-5.170455
2.482818,-5.262205
2.480984,-5.353955
2.479150,-5.445705
2.477316,-5.537455
2.475481,-5.629205
2.473647,-5.720954
2.471813,-5.812704
2.469978,-5.904454
2.468144,-5.996204
2.466310,-6.087954
2.464475,-6.179704
2.462641,-6.271454
2.466990,-6.366782
2.471339,-6.462110
2.475689,-6.557438
2.480038,-6.652766
2.484387,-6.748094
2.488736,-6.843422
2.493086,-6.938749
2.497435,-7.034077
2.501784,-7.129405
2.506133,-7.224733
2.510483,-7.320061
2.504525,-7.415369
2.498567,-7.510677
2.492609,-7.605985
2.486652,-7.701293
2.480694,-7.796601
2.474736,-7.891908
2.468778,-7.987216
2.462821,-8.082524
2.456863,-8.177832
2.450905,-8.273140
2.388154,-8.340252
2.325403,-8.407364
2.262652,-8.474476
2.199901,-8.541589
2.137150,-8.608701
2.074399,-8.675813
2.011647,-8.742925
1.948896,-8.810037
1.886145,-8.877149
1.823394,-8.944261
1.760643,-9.011374
1.664234,-9.009483
1.567826,-9.007592
1.471417,-9.005702
1.375008,-9.003811
1.278600,-9.001920
1.182191,-9.000030
1.085782,-8.998139
0.989374,-8.996249
0.892965,-8.994358
0.796556,-8.992467
0.700148,-8.990577
0.603739,-8.988686
0.507330,-8.986795
0.410306,-8.989314
0.313283,-8.991833
0.216259,-8.994352
0.119235,-8.996870
0.022212,-8.999389
-0.074812,-9.001908
-0.171836,-9.004427
-0.268860,-9.006945
-0.365883,-9.009464
-0.462907,-9.011983
-0.559931,-9.014501
-0.656954,-9.017020
-0.751388,-9.016621
-0.845822,-9.016221
-0.940257,-9.015821
-1.034691,-9.015422
-1.129125,-9.015022
-1.223559,-9.014623
-1.317993,-9.014223
-1.412427,-9.013824
-1.506861,-9.013424
-1.601295,-9.013024
-1.695729,-9.012625
-1.753150,-8.936309
-1.810572,-8.859994
-1.867993,-8.783678
-1.925414,-8.707362
-1.982836,-8.631047
-2.040257,-8.554731
-2.097679,-8.478416
-2.155100,-8.402100
-2.212522,-8.325784
-2.269943,-8.249469
-2.265068,-8.150135
-2.260192,-8.050801
-2.255317,-7.951466
-2.250442,-7.852132
