# x_m, y_m, w_tr_right_m, w_tr_left_m
-2.52505, 9.08770, 1.28652, 1.68710
-2.56128, 8.99450, 1.28550, 1.68341
-2.59750, 8.90130, 1.27333, 1.68116
-2.63371, 8.80809, 1.26620, 1.67985
-2.66989, 8.71487, 1.25519, 1.68023
-2.70604, 8.62164, 1.24967, 1.68159
-2.74216, 8.52839, 1.23873, 1.68510
-2.77823, 8.43513, 1.23310, 1.68840
-2.81426, 8.34184, 1.22296, 1.69237
-2.85022, 8.24853, 1.21636, 1.69910
-2.88612, 8.15520, 1.20788, 1.70422
-2.92195, 8.06183, 1.20002, 1.71047
-2.95769, 7.96843, 1.19349, 1.71787
-2.99335, 7.87499, 1.18492, 1.72394
-3.02892, 7.78151, 1.17977, 1.73044
-3.06438, 7.68799, 1.17121, 1.73809
-3.09974, 7.59443, 1.16666, 1.74392
-3.13498, 7.50083, 1.15819, 1.75129
-3.17011, 7.40718, 1.15375, 1.75598
-3.20511, 7.31348, 1.14519, 1.76020
-3.23999, 7.21974, 1.14031, 1.76507
-3.27474, 7.12595, 1.13195, 1.76769
-3.30935, 7.03212, 1.12579, 1.77024
-3.34381, 6.93824, 1.11843, 1.77117
-3.37813, 6.84431, 1.11069, 1.77172
-3.41229, 6.75033, 1.10473, 1.77159
-3.44630, 6.65630, 1.09623, 1.77111
-3.48014, 6.56222, 1.09137, 1.77012
-3.51381, 6.46809, 1.08307, 1.76906
-3.54731, 6.37391, 1.07887, 1.76807
-3.58063, 6.27968, 1.07107, 1.76738
-3.61379, 6.18540, 1.06725, 1.76712
-3.64682, 6.09108, 1.06016, 1.76795
-3.67976, 5.99673, 1.05630, 1.77000
-3.71265, 5.90236, 1.05053, 1.77383
-3.74553, 5.80798, 1.04650, 1.78041
-3.77843, 5.71360, 1.04246, 1.78585
-3.81139, 5.61924, 1.04013, 1.79158
-3.84445, 5.52489, 1.03591, 1.79258
-3.87764, 5.43057, 1.03431, 1.78544
-3.91100, 5.33630, 1.03131, 1.76711
-3.94458, 5.24207, 1.03009, 1.74052
-3.97840, 5.14790, 1.02803, 1.70502
-4.01251, 5.05380, 1.02695, 1.67882
-4.04694, 4.95977, 1.02540, 1.63805
-4.08174, 4.86584, 1.02387, 1.60838
-4.11690, 4.77199, 1.02265, 1.56007
-4.15230, 4.67822, 1.02000, 1.51004
-4.18777, 4.58448, 1.01791, 1.45270
-4.22314, 4.49075, 1.01551, 1.38520
-4.25826, 4.39699, 1.01288, 1.31607
-4.29294, 4.30317, 1.01103, 1.26786
-4.32702, 4.20927, 1.00836, 1.21009
-4.36033, 4.11524, 1.00700, 1.19229
-4.39271, 4.02106, 1.00448, 1.17145
-4.42400, 3.92670, 1.00239, 1.15712
-4.45420, 3.83212, 1.00062, 1.14871
-4.48340, 3.73727, 0.99931, 1.14447
-4.51170, 3.64211, 0.99684, 1.14276
-4.53920, 3.54660, 0.99385, 1.14219
-4.56600, 3.45070, 0.99152, 1.14128
-4.59219, 3.35437, 0.98692, 1.13899
-4.61787, 3.25756, 0.98362, 1.13431
-4.64313, 3.16023, 0.98011, 1.12732
-4.66808, 3.06234, 0.97815, 1.12312
-4.69280, 2.96385, 0.97786, 1.12823
-4.71734, 2.86472, 0.98074, 1.14908
-4.74067, 2.76511, 0.98984, 1.17272
-4.76090, 2.66535, 1.00650, 1.23224
