s,left,right
0.0,1.687104954912697,1.2865190248324552
0.01,1.6866702720686775,1.2863474747481858
0.02,1.686249907462283,1.28641953773508
0.03,1.6858439398384217,1.2866490293103425
0.04,1.685452447942002,1.2869497649911779
0.05,1.6850755105179316,1.2872355602947907
0.06,1.6847132063111192,1.287420230738386
0.07,1.684365614066472,1.2874175918391682
0.08,1.6840328125288986,1.2871414591143417
0.09,1.6837148757380034,1.2865066130380167
0.1,1.6834115202310993,1.2855011501418776
0.11,1.6831218602255196,1.2842366898757724
0.12,1.6828449520532403,1.282836722735527
0.13,1.6825798520462378,1.281424739216968
0.14,1.6823262068930072,1.2801030189409635
0.15,1.6820863796682428,1.278876244692743
0.16,1.6818635142298195,1.2777210465573685
0.17,1.681660754504642,1.2766140521397127
0.18,1.6814806800122906,1.2755316389909692
0.19,1.681317573967178,1.2744465090870092
0.2,1.68115940838004,1.2733285683030295
0.21,1.680993997206438,1.2721476524898379
0.22,1.6808092440108917,1.2708740820178768
0.23,1.6806033130590086,1.2695336573262035
0.24,1.6803939908292551,1.2682582770343511
0.25,1.680201276195014,1.2671918022798805
0.26,1.6800451680296684,1.2664780942003515
0.27,1.6799414880156207,1.2662131963343253
0.28,1.6798839251205742,1.2662397921797763
0.29,1.6798588657362448,1.2663169703854382
0.3,1.6798526917126118,1.2662037676093783
0.31,1.6798522854807212,1.2656710465472574
0.32,1.6798534276104762,1.2646998850461177
0.33,1.6798595485437757,1.2634520862738015
0.34,1.6798743278608026,1.2620953391954797
0.35,1.6799014370191458,1.2607969522830844
0.36,1.679943007905245,1.2596521146279915
0.37,1.6799978229537547,1.2585991142338235
0.38,1.6800642243632646,1.257555616769069
0.39,1.6801405543323658,1.256439287902217
0.4,1.6802255846050522,1.2551936522699751
0.41,1.6803207132373226,1.2539203405393844
0.42,1.6804283305720797,1.2527807198227985
0.43,1.6805508287989024,1.251936268403862
0.44,1.680690358120868,1.2515393303289901
0.45,1.6808437867815496,1.2515428721122495
0.46,1.681002854043575,1.251706257200034
0.47,1.6811590877870726,1.2517808700071755
0.48,1.6813040440178963,1.251518386578011
0.49,1.6814394811382474,1.2507762693682316
0.5,1.681592473152035,1.2496744727584692
0.51,1.681793953540979,1.2483729692087748
0.52,1.6820748557867977,1.2470317311791987
0.53,1.6824589513165236,1.2457933473233087
0.54,1.6829193181889561,1.2446773628746373
0.55,1.683407160912134,1.243650231378634
0.56,1.6838735977283243,1.2426781969956577
0.57,1.6842710754847803,1.2417276482477777
0.58,1.6845883395226289,1.2407689177282493
0.59,1.6848539420137305,1.239776663305496
0.6,1.6850984672751916,1.2387257636539475
0.61,1.6853524896364562,1.2375911386165652
0.62,1.685637682539638,1.2363843969472426
0.63,1.685950460970399,1.235221261206113
0.64,1.6862827900756554,1.2342357959153414
0.65,1.6866266350023222,1.2335620655970911
0.66,1.6869746392711022,1.2333072082239915
0.67,1.6873250293133757,1.2333567604568454
0.68,1.687678775375582,1.233487349276258
0.69,1.6880368667538992,1.2334748455255653
0.7,1.68840032343941,1.2330996256794209
